year,land_avg_eur,forest_avg_eur,all_average_eur
2000,282.0566667,880.4625,728.3254237
2001,338.0152174,969.805625,765.1411268
2002,272.4311111,971.4596429,801.4256757
2003,341.6526667,1190.530435,981.79
2004,443.7804762,1281.367193,926.0273737
2005,535.6893182,1305.191207,973.2492157
2006,696.9804545,1439.639074,1106.20051
2007,860.8421951,2019.13193,1534.541327
2008,969.3689744,1785.711373,1431.963
2009,943.2726471,1435.538929,1249.571667
2010,863.7555556,1778.15931,1378.662524
2011,1174.822609,1981.841667,1631.625849
2012,1340.488679,2202.417797,1794.540625
2013,1841.916034,2580.757742,2223.650917
2014,2314.31322,2689.638571,2508.12877
2015,2420.959074,2455.032295,2439.032696
2016,2540.847679,2392.598281,2461.781333
2017,2733.435179,2866.51,2804.921653
2018,2968.968077,3978.764603,3522.160957
2019,3204.528113,3990.196167,3621.696991
2020,3711.968246,4394.510781,4072.982479
2021,3698.157391,4802.92587,4434.66971
2022,4788.683889,8219.484754,6608.5
